id,page_name,post_id,post_url,content,timestamp,likes,shares,comment_count,scraped_at
1,TechNews Mongolia,POST_0001,https://facebook.com/technewsmongolia/posts/1,Python 3.12 хувилбар гарлаа. Олон шинэ боломжууд нэмэгдсэн байна. #1,2026-05-08 05:42:00,766,164,66,2026-05-08 07:42:00
2,TechNews Mongolia,POST_0002,https://facebook.com/technewsmongolia/posts/2,Шинэ хиймэл оюун ухааны загвар танилцуулагдлаа. #2,2026-05-16 21:08:00,200,125,18,2026-05-16 23:08:00
3,Монголын хөгжүүлэгчид,POST_0003,https://facebook.com/монголынхөгжүүлэгчид/posts/3,Cybersecurity-д хэрэгтэй шинэ tool-ууд. #3,2026-05-12 04:21:00,32,104,29,2026-05-12 06:21:00
4,Мэдээллийн Технологи,POST_0004,https://facebook.com/мэдээллийнтехнологи/posts/4,Шинэ хиймэл оюун ухааны загвар танилцуулагдлаа. #4,2026-05-02 17:23:00,148,148,46,2026-05-02 19:23:00
5,TechNews Mongolia,POST_0005,https://facebook.com/technewsmongolia/posts/5,Cloud computing-ийн ирээдүй. #5,2026-05-01 14:21:00,29,59,30,2026-05-01 16:21:00
6,Мэдээллийн Технологи,POST_0006,https://facebook.com/мэдээллийнтехнологи/posts/6,Шинэ хиймэл оюун ухааны загвар танилцуулагдлаа. #6,2026-05-01 02:17:00,703,69,29,2026-05-01 04:17:00
7,TechNews Mongolia,POST_0007,https://facebook.com/technewsmongolia/posts/7,Python 3.12 хувилбар гарлаа. Олон шинэ боломжууд нэмэгдсэн байна. #7,2026-05-14 02:40:00,802,69,52,2026-05-14 04:40:00
8,Мэдээллийн Технологи,POST_0008,https://facebook.com/мэдээллийнтехнологи/posts/8,Машин сургалтын үндэс сургалт эхэллээ. #8,2026-05-07 10:16:00,308,6,75,2026-05-07 12:16:00
9,TechNews Mongolia,POST_0009,https://facebook.com/technewsmongolia/posts/9,Шинэ iPhone 16-ийн талаарх цуурхал ба баримтууд. #9,2026-05-17 03:42:00,815,0,57,2026-05-17 05:42:00
10,Мэдээллийн Технологи,POST_0010,https://facebook.com/мэдээллийнтехнологи/posts/10,Python 3.12 хувилбар гарлаа. Олон шинэ боломжууд нэмэгдсэн байна. #10,2026-05-10 00:06:00,585,19,87,2026-05-10 02:06:00
11,Монголын хөгжүүлэгчид,POST_0011,https://facebook.com/монголынхөгжүүлэгчид/posts/11,Шинэ хиймэл оюун ухааны загвар танилцуулагдлаа. #11,2026-05-12 18:59:00,436,111,82,2026-05-12 20:59:00
12,Мэдээллийн Технологи,POST_0012,https://facebook.com/мэдээллийнтехнологи/posts/12,Өгөгдлийн сангийн аюулгүй байдлын талаарх чухал зөвлөгөө. #12,2026-05-10 18:34:00,655,20,43,2026-05-10 20:34:00
13,AI & Data Science MN,POST_0013,https://facebook.com/ai&datasciencemn/posts/13,Python 3.12 хувилбар гарлаа. Олон шинэ боломжууд нэмэгдсэн байна. #13,2026-05-21 02:55:00,329,81,34,2026-05-21 04:55:00
14,Мэдээллийн Технологи,POST_0014,https://facebook.com/мэдээллийнтехнологи/posts/14,Tech event удахгүй болно. #14,2026-05-16 11:29:00,937,31,89,2026-05-16 13:29:00
15,Монголын хөгжүүлэгчид,POST_0015,https://facebook.com/монголынхөгжүүлэгчид/posts/15,Python 3.12 хувилбар гарлаа. Олон шинэ боломжууд нэмэгдсэн байна. #15,2026-05-11 20:00:00,795,34,37,2026-05-11 22:00:00
16,AI & Data Science MN,POST_0016,https://facebook.com/ai&datasciencemn/posts/16,Машин сургалтын үндэс сургалт эхэллээ. #16,2026-05-08 10:29:00,69,132,24,2026-05-08 12:29:00
17,TechNews Mongolia,POST_0017,https://facebook.com/technewsmongolia/posts/17,Шинэ хиймэл оюун ухааны загвар танилцуулагдлаа. #17,2026-05-21 09:14:00,712,110,15,2026-05-21 11:14:00
18,AI & Data Science MN,POST_0018,https://facebook.com/ai&datasciencemn/posts/18,Шинэ хиймэл оюун ухааны загвар танилцуулагдлаа. #18,2026-05-19 11:43:00,677,52,8,2026-05-19 13:43:00
19,Мэдээллийн Технологи,POST_0019,https://facebook.com/мэдээллийнтехнологи/posts/19,Cybersecurity-д хэрэгтэй шинэ tool-ууд. #19,2026-05-07 09:50:00,905,151,50,2026-05-07 11:50:00
20,AI & Data Science MN,POST_0020,https://facebook.com/ai&datasciencemn/posts/20,Tech event удахгүй болно. #20,2026-05-10 23:21:00,587,5,64,2026-05-11 01:21:00
21,TechNews Mongolia,POST_0021,https://facebook.com/technewsmongolia/posts/21,Tech event удахгүй болно. #21,2026-05-08 18:47:00,529,156,97,2026-05-08 20:47:00
22,TechNews Mongolia,POST_0022,https://facebook.com/technewsmongolia/posts/22,Tech event удахгүй болно. #22,2026-05-12 23:13:00,157,152,14,2026-05-13 01:13:00
23,AI & Data Science MN,POST_0023,https://facebook.com/ai&datasciencemn/posts/23,Javascript хөгжүүлэгчдэд зориулсан 5 зөвлөгөө. #23,2026-05-14 10:06:00,422,136,98,2026-05-14 12:06:00
24,AI & Data Science MN,POST_0024,https://facebook.com/ai&datasciencemn/posts/24,Python 3.12 хувилбар гарлаа. Олон шинэ боломжууд нэмэгдсэн байна. #24,2026-05-02 05:01:00,858,42,20,2026-05-02 07:01:00
25,AI & Data Science MN,POST_0025,https://facebook.com/ai&datasciencemn/posts/25,Python 3.12 хувилбар гарлаа. Олон шинэ боломжууд нэмэгдсэн байна. #25,2026-05-15 20:17:00,868,14,54,2026-05-15 22:17:00
26,Монголын хөгжүүлэгчид,POST_0026,https://facebook.com/монголынхөгжүүлэгчид/posts/26,Python 3.12 хувилбар гарлаа. Олон шинэ боломжууд нэмэгдсэн байна. #26,2026-05-16 08:31:00,155,67,31,2026-05-16 10:31:00
27,Монголын хөгжүүлэгчид,POST_0027,https://facebook.com/монголынхөгжүүлэгчид/posts/27,Шинэ iPhone 16-ийн талаарх цуурхал ба баримтууд. #27,2026-05-16 16:29:00,515,179,78,2026-05-16 18:29:00
28,AI & Data Science MN,POST_0028,https://facebook.com/ai&datasciencemn/posts/28,Javascript хөгжүүлэгчдэд зориулсан 5 зөвлөгөө. #28,2026-05-09 22:46:00,908,159,69,2026-05-10 00:46:00
29,TechNews Mongolia,POST_0029,https://facebook.com/technewsmongolia/posts/29,Cloud computing-ийн ирээдүй. #29,2026-05-18 21:02:00,855,59,19,2026-05-18 23:02:00
30,Мэдээллийн Технологи,POST_0030,https://facebook.com/мэдээллийнтехнологи/posts/30,Tech event удахгүй болно. #30,2026-05-13 11:14:00,214,38,54,2026-05-13 13:14:00
31,AI & Data Science MN,POST_0031,https://facebook.com/ai&datasciencemn/posts/31,Шинэ iPhone 16-ийн талаарх цуурхал ба баримтууд. #31,2026-05-10 10:44:00,409,42,37,2026-05-10 12:44:00
32,Монголын хөгжүүлэгчид,POST_0032,https://facebook.com/монголынхөгжүүлэгчид/posts/32,Шинэ iPhone 16-ийн талаарх цуурхал ба баримтууд. #32,2026-05-09 06:38:00,653,67,10,2026-05-09 08:38:00
