id,post_id,comment_id,author_name,author_url,content,timestamp,likes,reply_to_id,scraped_at
1,452,C_00001,Nomin,https://facebook.com/nomin,Маш сонирхолтой мэдээлэл байна.,2026-05-11 00:00:00,0,,2026-05-11 01:00:00
2,421,C_00002,Gantulga,https://facebook.com/gantulga,Үүнтэй санал нийлэхгүй байна.,2026-05-12 18:00:00,12,,2026-05-12 19:00:00
3,155,C_00003,Sarnai,https://facebook.com/sarnai,Үнэхээр гоё санагдсан шүү.,2026-05-15 10:00:00,28,,2026-05-15 11:00:00
4,222,C_00004,Sarnai,https://facebook.com/sarnai,Дараагийн пост хэзээ орох вэ?,2026-05-06 01:00:00,41,,2026-05-06 02:00:00
5,113,C_00005,Maral,https://facebook.com/maral,Үнэхээр гоё санагдсан шүү.,2026-05-25 23:00:00,2,,2026-05-26 00:00:00
6,284,C_00006,Gantulga,https://facebook.com/gantulga,Сайн тайлбарлажээ.,2026-05-22 02:00:00,12,,2026-05-22 03:00:00
7,146,C_00007,Khuslen,https://facebook.com/khuslen,Хэрэгжүүлж үзнэ ээ.,2026-05-09 09:00:00,9,5,2026-05-09 10:00:00
8,218,C_00008,Maral,https://facebook.com/maral,Үүнтэй санал нийлэхгүй байна.,2026-05-11 01:00:00,10,,2026-05-11 02:00:00
9,103,C_00009,Gantulga,https://facebook.com/gantulga,Гайхалтай!,2026-05-22 05:00:00,41,,2026-05-22 06:00:00
10,242,C_00010,Tengis,https://facebook.com/tengis,Сайн тайлбарлажээ.,2026-05-07 08:00:00,5,,2026-05-07 09:00:00
11,207,C_00011,Bat-Erdene,https://facebook.com/bat-erdene,Маш сонирхолтой мэдээлэл байна.,2026-05-07 18:00:00,15,,2026-05-07 19:00:00
12,224,C_00012,Anu,https://facebook.com/anu,Энэ талаар дэлгэрэнгүй хаанаас уншиж болох вэ?,2026-05-07 14:00:00,3,,2026-05-07 15:00:00
13,431,C_00013,Maral,https://facebook.com/maral,Энэ талаар дэлгэрэнгүй хаанаас уншиж болох вэ?,2026-05-18 07:00:00,3,,2026-05-18 08:00:00
14,101,C_00014,Tuguldur,https://facebook.com/tuguldur,Үүнтэй санал нийлэхгүй байна.,2026-05-18 15:00:00,33,,2026-05-18 16:00:00
15,388,C_00015,Khuslen,https://facebook.com/khuslen,Хэрэгтэй зөвлөгөө байна баярлалаа.,2026-05-07 00:00:00,39,,2026-05-07 01:00:00
16,100,C_00016,Nomin,https://facebook.com/nomin,Энэ талаар дэлгэрэнгүй хаанаас уншиж болох вэ?,2026-05-21 20:00:00,50,,2026-05-21 21:00:00
17,3,C_00017,Tuguldur,https://facebook.com/tuguldur,Үүнтэй санал нийлэхгүй байна.,2026-05-12 11:00:00,42,,2026-05-12 12:00:00
18,188,C_00018,Tengis,https://facebook.com/tengis,Маш сонирхолтой мэдээлэл байна.,2026-05-24 04:00:00,33,,2026-05-24 05:00:00
19,101,C_00019,Gantulga,https://facebook.com/gantulga,Хэрэгтэй зөвлөгөө байна баярлалаа.,2026-05-07 09:00:00,37,,2026-05-07 10:00:00
